"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName"
"270",72,2009,12.1756303217917,"Unvegetated","Areas pobladas","Populated areas"
"271",1,2010,1551.10323100772,"Forest","Bosque conifero denso","Dense conifer forest"
"272",2,2010,599.229892011928,"Forest","Bosque conifero abierto","Open conifer forest"
"273",4,2010,921.503960544201,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"274",6,2010,2448.85756104838,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"275",8,2010,1412.90816221556,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"276",9,2010,2037.27248038712,"Forest","Bosque seco","Dry forest"
"277",12,2010,9.68310349852478,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"278",13,2010,111.820879939087,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"279",14,2010,34.1981681853857,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"280",16,2010,1608.61216804438,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"281",20,2010,926.034990652437,"Shrubland","Matorral seco","Dry matorral"
"282",21,2010,9.26412941997034,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"283",24,2010,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"284",26,2010,4.43351637934094,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"285",27,2010,26.5004986760343,"Grassland","Sabana de pajon","Sabana de pajon"
"286",33,2010,5.08859515885022,"Wetland","Eneal","Cattail marsh"
"287",35,2010,96.7150564253686,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"288",37,2010,696.711658374135,"Cultivated","Cultivos intensivos","Cultivated land"
"289",38,2010,458.263708803402,"Cultivated","Caña","Sugar cane"
"290",39,2010,262.777586423318,"Cultivated","Arroz","Rice"
"291",40,2010,563.266508222824,"Cultivated","Pasto","Pasture"
"292",51,2010,21.6077040567554,"Cultivated","Palma Africana","African palm"
"293",52,2010,219.689880383221,"Cultivated","Palma de Coco","Coco Palm"
"294",53,2010,2268.27550356191,"Cultivated","Café y Cacao","Coffee and Cacao"
"295",59,2010,3807.46560946402,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"296",65,2010,17.0010298665297,"Unvegetated","Lagunos o lagos","Lake"
"297",72,2010,12.0949561585727,"Unvegetated","Areas pobladas","Populated areas"
"298",1,2011,1546.47072300784,"Forest","Bosque conifero denso","Dense conifer forest"
"299",2,2011,597.306426891231,"Forest","Bosque conifero abierto","Open conifer forest"
"300",4,2011,919.791169024047,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"301",6,2011,2439.01110086236,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"302",8,2011,1401.83820788568,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"303",9,2011,2025.97107439087,"Forest","Bosque seco","Dry forest"
"304",12,2011,9.66133408416321,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"305",13,2011,111.721274990851,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"306",14,2011,34.1043681548608,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"307",16,2011,1598.63004595802,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"308",20,2011,919.517635239943,"Shrubland","Matorral seco","Dry matorral"
"309",21,2011,9.26087853978418,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"310",24,2011,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"311",26,2011,4.41828343339307,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"312",27,2011,26.4425400983747,"Grassland","Sabana de pajon","Sabana de pajon"
"313",33,2011,5.06228198802991,"Wetland","Eneal","Cattail marsh"
"314",35,2011,95.978499064427,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"315",37,2011,691.76324035259,"Cultivated","Cultivos intensivos","Cultivated land"
"316",38,2011,454.989232862674,"Cultivated","Caña","Sugar cane"
"317",39,2011,260.747505646874,"Cultivated","Arroz","Rice"
"318",40,2011,556.445818491944,"Cultivated","Pasto","Pasture"
"319",51,2011,21.3130774620594,"Cultivated","Palma Africana","African palm"
"320",52,2011,218.188897046756,"Cultivated","Palma de Coco","Coco Palm"
