"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"141","9",2005,2114.68015671856,"Forest","Bosque seco","Dry forest",2115.17142514757
"142","12",2005,9.92717899858948,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.92717899858948
"143","13",2005,112.11406965799,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.124223471345
"144","14",2005,34.408962728277,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.408962728277
"145","16",2005,1677.07958179845,"Shrubland","Matorral latifoliado","Broadleaf matorral",1678.20725676552
"146","20",2005,960.777959109845,"Shrubland","Matorral seco","Dry matorral",960.854564155194
"147","21",2005,9.34521841607751,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.34521841607751
"148","24",2005,3.18260951673132,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.18260951673132
"149","26",2005,4.52695710888562,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.52695710888562
"150","27",2005,26.9263906336395,"Grassland","Sabana de pajon","Sabana de pajon",27.4872890505103
"151","33",2005,5.52999587622754,"Wetland","Eneal","Cattail marsh",5.52999587622754
"152","35",2005,99.6361463066428,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",99.6590357141135
"153","37",2005,729.749749396243,"Cultivated","Cultivos intensivos","Cultivated land",729.826825742556
"154","38",2005,476.125800452335,"Cultivated","Caña","Sugar cane",476.421822550418
"155","39",2005,272.548216839434,"Cultivated","Arroz","Rice",272.548216839434
"156","40",2005,597.758732288716,"Cultivated","Pasto","Pasture",597.774008113668
"157","51",2005,30.035926492453,"Cultivated","Palma Africana","African palm",30.035926492453
"158","52",2005,226.26038865288,"Cultivated","Palma de Coco","Coco Palm",226.265465442065
"159","53",2005,2329.72390005996,"Cultivated","Café y Cacao","Coffee and Cacao",2329.95637529156
"160","59",2005,3951.37802689361,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3954.30427574428
"161","65",2005,17.2796083037979,"Unvegetated","Lagunos o lagos","Lake",17.2796083037979
"162","72",2005,12.4584423024225,"Unvegetated","Areas pobladas","Populated areas",12.4584423024225
"163","1",2006,1575.65571451292,"Forest","Bosque conifero denso","Dense conifer forest",1626.1177114126
"164","2",2006,610.81469228608,"Forest","Bosque conifero abierto","Open conifer forest",626.881546411421
"165","4",2006,932.954659334998,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",938.803536864997
"166","6",2006,2499.78061922484,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2503.54054224913
"167","8",2006,1468.11533830199,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1468.32545641228
"168","9",2006,2100.54604663918,"Forest","Bosque seco","Dry forest",2101.05680085494
"169","12",2006,9.87598907685669,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.87598907685669
"170","13",2006,112.06376976897,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.073923582325
"171","14",2006,34.3812641617743,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.3812641617743
"172","16",2006,1666.5735413958,"Shrubland","Matorral latifoliado","Broadleaf matorral",1667.70206416902
"173","20",2006,953.223902874166,"Shrubland","Matorral seco","Dry matorral",953.348923259115
"174","21",2006,9.33217879261865,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.33217879261865
"175","24",2006,3.1815388286936,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.1815388286936
"176","26",2006,4.50442382741711,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.50442382741711
"177","27",2006,26.8683920995941,"Grassland","Sabana de pajon","Sabana de pajon",27.4377575847022
"178","33",2006,5.48070163842297,"Wetland","Eneal","Cattail marsh",5.48070163842297
"179","35",2006,99.0930352382417,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",99.1176239333101
"180","37",2006,724.591098017713,"Cultivated","Cultivos intensivos","Cultivated land",724.668174364027
"181","38",2006,473.754894830507,"Cultivated","Caña","Sugar cane",474.070435292116
"182","39",2006,270.737064284676,"Cultivated","Arroz","Rice",270.743827243111
"183","40",2006,592.172139353136,"Cultivated","Pasto","Pasture",592.187415178087
"184","51",2006,29.7363015027905,"Cultivated","Palma Africana","African palm",29.7363015027905
"185","52",2006,225.194619985269,"Cultivated","Palma de Coco","Coco Palm",225.199696774453
"186","53",2006,2320.38712708661,"Cultivated","Café y Cacao","Coffee and Cacao",2320.62129645743
"187","59",2006,3925.0440861993,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3928.05923721892
"188","65",2006,17.2537743293222,"Unvegetated","Lagunos o lagos","Lake",17.2546227680429
"189","72",2006,12.4005445009354,"Unvegetated","Areas pobladas","Populated areas",12.4005445009354
"190","1",2007,1568.74539573286,"Forest","Bosque conifero denso","Dense conifer forest",1619.86281670866
"191","2",2007,607.496021733288,"Forest","Bosque conifero abierto","Open conifer forest",624.489440362596
"192","4",2007,930.205057774014,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",936.186884156674
"193","6",2007,2488.31597657913,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2492.13692398018
"194","8",2007,1454.15084886994,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1454.40590699665
"195","9",2007,2085.60704596088,"Forest","Bosque seco","Dry forest",2086.18694625916
"196","12",2007,9.8141280316748,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",9.8141280316748
"197","13",2007,112.000808862529,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.010962675884
"198","14",2007,34.3401581570666,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.3401581570666
"199","16",2007,1652.75371199737,"Shrubland","Matorral latifoliado","Broadleaf matorral",1653.97013858434
"200","20",2007,947.180529523589,"Shrubland","Matorral seco","Dry matorral",947.33168111978
